"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"13-MASO-2.8-07102018-W","Nitrate+Nitrite as Nitrogen",2018-07-10,"NO3NO2N",TRUE,0.381,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-MASO-2.8-07102018-W","Nitrogen",2018-07-10,"KN",TRUE,0.97,"mg/l",NA,"mg/l",0.1,"","A",""
"13-MASO-2.8-07102018-W","Nitrogen, ammonia (As N)",2018-07-10,"7664-41-7",TRUE,0.0153,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-MASO-2.8-07102018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-10,"KN",TRUE,0.59,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-MASO-2.8-07102018-W","NITROGEN, NITRATE (AS N)",2018-07-10,"14797-55-8",TRUE,0.381,"mg/l",NA,"mg/l",0.01,"","A",""
"13-MASO-2.8-07102018-W","NITROGEN, NITRITE",2018-07-10,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-MASO-2.8-07102018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-10,"7723-14-0",TRUE,0.0634,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-MASO-2.8-07102018-W","TURBIDITY",2018-07-10,"TURB",TRUE,2.62,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-MASO-2.8-07242018-WS","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N",TRUE,0.176,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-MASO-2.8-07242018-WS","Nitrogen",2018-07-24,"KN",TRUE,0.91,"mg/l",NA,"mg/l",0.1,"","A",""
"13-MASO-2.8-07242018-WS","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7",TRUE,0.0133,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-MASO-2.8-07242018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN",TRUE,0.74,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-MASO-2.8-07242018-WS","NITROGEN, NITRATE (AS N)",2018-07-24,"14797-55-8",TRUE,0.176,"mg/l",NA,"mg/l",0.01,"","A",""
"13-MASO-2.8-07242018-WS","NITROGEN, NITRITE",2018-07-24,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-MASO-2.8-07242018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0",TRUE,0.105,"mg/l",0.004,"mg/l",0.01,"","A",""
"13-MASO-2.8-07242018-WS","TURBIDITY",2018-07-24,"TURB",TRUE,5.04,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-MASO-2.8-08142018-W","Nitrate+Nitrite as Nitrogen",2018-08-14,"NO3NO2N",TRUE,0.188,"mg/l",7e-04,"mg/l",0.002,"","A",""
